S.no,Manufacturer,Distributor ,Location,Point Of Contact,Contact,Documents Needed,Payment Mode,Delivery ,Catalogue,App Willingness,Comments,Orders Day- Greater Kailash Area,Delivery Day- Greater Kailash Area,Email Id for P.O,Personal Visit,Bank Details 
,,,,,,,,,,,,,,,,
1,Nestle Ltd. India,Jain Sales Pvt Ltd,"A-61, Okhla Phase2, Delhi",Gaurav Jain,9899076279,"GST, Delivery Address ",Online,Twice in a week,Recd,No,No digital catalogue available ,Thurs,Fri,jainsales12@gmail.com,,Account Name- Jain Sales Account Number- 09135011000624                                 IFSC Code- PUNB0091310
,,,,,,,,,,,,,,,,
2,Colgate-Palmolive India Ltd. ,Jain Sales Pvt Ltd,"A-61, Okhla Phase2, Delhi",Gaurav Jain,9899076279,"GST, Delivery Address ",Online,Twice in a week,Recd,No,,Wed,Thurs,jainsales12@gmail.com,,Account Name- Jain Sales Account Number- 09135011000624                                 IFSC Code- PUNB0091310
,,,,Abhijeet (Company sales),9838002281,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,Godrej Consumer Products Ltd,Affiniti Enterprises,"D-3, Okhla Phase-1, Delhi",Sandesh,1141054818,"GST, traders license",Online (RTGS),Once in a week (Sat),Recd,No,,Sat,Mon,prveensh041977@gmail.com,,Account Name- Affiniti Enterprises Account Number- 1514002100027892                                 IFSC Code- PUNB0151400
,,,,Praveen (Company Sales),8882417004,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,Reckitt Benckiser,Affiniti Enterprises,"D-3, Okhla Phase-1, Delhi",Sandesh,1141054818,"GST, Traders License, Address",Online (RTGS),Twice in a week ,Recd,No ( Orders through mail),,"Fri, Sat","Sat, Mon",amit.chand2@rb.com,,Account Name- Affiniti Enterprises Account Number- 1514002100027892                                 IFSC Code- PUNB0151400
,,,,Amit (Company Sales),7042575451,,,,,,,,,,,
,,,,Himanshu,9069609252,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,Kaira Coop Milk Producers (Anand),Gaurav Enterprises,"Jal Vihar, Lajpat Nagar2, Delhi",Mr. Jain,9650955985,"GST, Traders License","Cash, Cheque",Twice in a week,Recd,No,No digital catalogue available ,"Wed, Sat","Thur, Sun","palrakesh612@gmail.com, chandrakantdugar@gmail.com",,Account Name- Gaurav Enterprises Pvt Ltd           Account Number- 3396915506                                IFSC Code- CBIN0280311
,,,,,,,,,,,,,,,,
6,HUL,Home Products Pvt Ltd,"A-69, Okhla Phase 2, Delhi",Deepak ,1141815037,"GST, Delivery Address ","Cash, Cheque, RTGS",Twice in a week,Recd,No ( Orders through mail),No digital catalogue available ,"Thurs, Mon","Sat, Wed",thedeepaksharma93@gmail.com,,Account Name- Home Products                           Account Number- 349405040130800                                IFSC Code-UBIN0535575 
,,,,,,,,,,,,,,,,
